trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-107.04676646127275,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-118.4240586337966,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-308.1429415774049,"{0: 15, 1: 7, 2: 7, 3: 1, 4: 5}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-115.1294577759679,"{0: 8, 1: 3, 2: 7, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-135.0331934728477,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-229.35515836605956,"{0: 16, 1: 4, 2: 11, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-133.34980478809285,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-248.5390824683999,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-125.03106784216511,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-85.18413165276756,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-209.27234857070036,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,7,-123.3302961797976,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 3}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-48.508495560131074,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-96.15683017196453,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-67.1278504628767,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,5.017083662300328,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-67.10920453915251,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-100.760350169433,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-99.2360810536319,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,14,12.78930064753726,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,6,9.028716538843602,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,-72.81581412631374,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,20.088105687942598,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,13,-0.18333510237819906,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,6,9.93127541384954,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,13,-12.492797383187979,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,15,3.107394916020426,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,10,16.54147868955647,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",35,6,27.718412212760008,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,19,8.733301821990853,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
