trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-103.23483159114531,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-167.09641858520357,"{0: 11, 1: 7, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-25.478176392618487,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-60.91246428359462,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-122.04741948066042,"{0: 14, 1: 7, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-192.76176114489033,"{0: 15, 1: 3, 2: 9, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,1,-58.22090199072566,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-33.964988493069264,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-125.7047361984726,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-122.7322767731884,"{0: 15, 1: 9, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-70.61953250632277,"{0: 15, 1: 8, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-51.37829867007009,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-120.22483709171216,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-109.61808720128201,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-222.49741460785552,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,3,-41.064305074532655,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-113.80533736101204,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-243.39982778196838,"{0: 11, 1: 4, 2: 12, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-148.6427791650757,"{0: 7, 1: 1, 2: 11, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-223.79028339844768,"{0: 11, 1: 0, 2: 11, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,0,-129.15881582816257,"{0: 9, 1: 0, 2: 10, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-237.34525946845824,"{0: 5, 1: 0, 2: 12, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",30,0,-213.2988528018726,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",30,0,-190.49120182797358,"{0: 13, 1: 2, 2: 13, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-92.93860486260195,"{0: 14, 1: 1, 2: 10, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-230.62592320588345,"{0: 8, 1: 0, 2: 8, 3: 0, 4: 4}",0
7,True,"{'a': 0, 'e': 0}",20,0,-251.80154105191377,"{0: 6, 1: 1, 2: 9, 3: 0, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",20,0,-127.98842167892266,"{0: 9, 1: 0, 2: 10, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-148.56384427842548,"{0: 7, 1: 0, 2: 12, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-264.23420381369766,"{0: 9, 1: 2, 2: 10, 3: 0, 4: 4}",0
